Record_number,Entry_date,Study_number,Author,Duplicate_record,Quality_flag,Contributor,Country,Region,Site_name,Site_ID,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,Stage,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sand,Soil_silt,Soil_clay,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Collar_height,Collar_depth,Chamber_area,Time_of_day,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Rs_annual_err,Rs_interann_err,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Rs_wet,Rs_dry,RC_seasonal,RC_season,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Notes,year,Juliday,month,ecosystems,total Soil respiration,soil temperature,soil MOSITURE (%WHC),Root respiration,Rh,Ecosystems,SPEI
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,6,Grassland,310.1671057,,,,,4,0.248183524
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,7,Grassland,315.6091072,,,,,4,-0.450836192
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,8,Grassland,149.6322501,,,,,4,-1.376865931
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,9,Grassland,73.03238076,,,,,4,-1.24298785
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,10,Grassland,31.64914184,,,,,4,-0.355572039
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,11,Grassland,-23.45852324,,,,,4,-0.655942391
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,12,Grassland,-30.06669075,,,,,4,-0.19922959
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,1,Grassland,-40.55702839,,,,,4,-0.02341585
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,2,Grassland,-34.59593137,,,,,4,-1.83204777
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,3,Grassland,24.46407603,,,,,4,1.034289332
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,4,Grassland,159.4574686,,,,,4,-0.827848298
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,5,Grassland,39.84184589,,,,,4,-1.386209497
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,6,Grassland,190.1683166,,,,,4,-2.185787072
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,7,Grassland,246.238372,,,,,4,-1.15842547
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,8,Grassland,234.5962094,,,,,4,-1.099696169
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,9,Grassland,105.712777,,,,,4,-1.833269961
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,10,Grassland,31.97330904,,,,,4,-0.355133334
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,11,Grassland,26.73976817,,,,,4,-0.762596789
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,12,Grassland,32.48382687,,,,,4,1.161420992
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1130,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,1,Grassland,-67.28692496,,,,,4,-1.006410836
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,2,Grassland,-41.35157362,,,,,4,1.206775584
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,3,Grassland,43.47080389,,,,,4,-1.434237551
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,4,Grassland,75.17154424,,,,,4,0.096916788
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,5,Grassland,355.1875919,,,,,4,-0.457473481
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,6,Grassland,339.3455754,,,,,4,-1.094930693
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,8,Grassland,159.0995778,,,,,4,-1.515465346
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,9,Grassland,45.47907239,,,,,4,-1.509554777
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,10,Grassland,48.9065337,,,,,4,-1.59221971
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,11,Grassland,-7.27052928,,,,,4,-1.356728464
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,12,Grassland,-100.7228335,,,,,4,0.217501763
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,1,Grassland,-23.64660551,,,,,4,-0.71840966
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,2,Grassland,-54.79344609,,,,,4,-0.593311065
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,3,Grassland,21.38229734,,,,,4,-2.07298581
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,4,Grassland,23.18862776,,,,,4,0.009738887
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,5,Grassland,57.04527567,,,,,4,-0.121643828
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,6,Grassland,263.7724824,,,,,4,0.248183524
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,7,Grassland,229.0246595,,,,,4,-0.450836192
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,8,Grassland,119.36687,,,,,4,-1.376865931
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,10,Grassland,37.80389808,,,,,4,-1.24298785
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,11,Grassland,-49.52366802,,,,,4,-0.355572039
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,12,Grassland,-63.02435923,,,,,4,-0.655942391
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,1,Grassland,-14.39819377,,,,,4,-0.19922959
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,2,Grassland,-42.30648185,,,,,4,-0.02341585
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,3,Grassland,16.94430403,,,,,4,-1.83204777
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,4,Grassland,20.55038789,,,,,4,1.034289332
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,5,Grassland,35.68198195,,,,,4,-0.827848298
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,6,Grassland,340.3685912,,,,,4,-1.386209497
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,7,Grassland,94.75325693,,,,,4,-2.185787072
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,8,Grassland,189.596981,,,,,4,-1.15842547
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,9,Grassland,131.8600839,,,,,4,-1.099696169
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.538889,116.554167,1343,,,,,Stipa grandis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,10,Grassland,23.28435236,,,,,4,-1.833269961
